Bezeichnung / Feldgeräte,Beschreibung
JXF:WFZ.R130,"Zählerersatzstück 1'', 130 mm"
JXF:WFZ.R80,"Zählerersatzstück 3/4'', 80 mm"
JXF:WME.EINPUTZ1,Einputzhilfe für Messkapselwasserzähler
JXF:WMZ.K5,Montageschlüssel für Messkapselzähler
JXF:WZM-V110,"Verlängerung 80 auf 110 mm G3/4B"", G1B"""
JXF:WZM-V110,"Verlängerung 80 auf 110 mm G3/4B"", G1B"""
KA-US-7X025-20M,Anschlusskabel 20m zu Clima Sensor US
KA-US-8X025-10M,Anschlusskabel 10m zu Clima Sensor US
KNX ENO 630,"KNX Funkempfänger EnOcean, 16 Kanäle"
KNX ENO 632,KNX Funkempfänger/-sender EnOcean (24)
KNX ENO 634,KNX Funkempfänger/-sender EnOcean (32)
KNX ENO 636,Funkempf/-sender KNX/EnOcean &Sicherheit
KRM-1,KANALRAUCHMELDER
KRM-2,KANALRAUCHMELDER 24V
KVM1-4,"CLAXAN, KVM-SWITCH1-4 M.KAB."
L10-PC,"TOUCHPANEL LUNA10, WIN10 IOT"
L16-PC,"TOUCHPANEL LUNA16, WIN10 IOT"
L22-PC,"TOUCHPANEL LUNA22, WIN10 IOT"
LOGO 24VDC-4A,LOGO! Power 230V AC / 24V DC 4A
LOGO-24O,LOGO! 230RC Logikmod.Relais+Uhr 6DE/4DA
LOGO-AM2-PT100,"LOGO! Erweiterungsmodul 2AI (PT100),"
LOYLDALI-3E101-U,"DALI/LON-Interface, 2x DALI/2x Ethernet"
LOYLDALI-3E102-U,"DALI/LON-Interface, 2x DALI/1x Ethernet"
LOYLDALI-3E104,"DALI/LON-Interface, 4x DALI/1x Eth.,"
LOYLDALI-PWR2-U,DALI-Stromversorgung 2-fach
LOYLDALI-PWR4-U,DALI-Stromversorgung 4-fach
LOYLIP-3333ECTC,"LON/IP Router,4xEth./2xFT-10"
LOYLIP-33ECRB,"LON/IP Router Redundant,1xEth./2xFT-10,"
LOYLIP-33ECTC,"LON/IP Router, 2x Ethernet / 2x FT-10"
LOYLIP-3ECTC,"LON/IP Router,2x Eth./1xFT-10"
LOYLP-33E100,"L-Proxy LON Multiport Gateway,"
LOYLPOW-2415B,Gehäuse-Stromversorgung 24VDC/15W
LOYLS13300C,L-Switch 2xFT-10/1xTP-1250
LOYLS13333C,L-Switch 4xFT-10/1xTP-1250
LOYLT33,LON-Busabschluss 2x 52.3/105Ohm
LOYL-VIS3E100,"5.7"" UP-Touch Panel"
LOYL-VIS3E115,"15"" UP-Touch Panel"
LOYL-VIS3ME12A1,"12.1"" UP-Touch Panel"
LOYL-VIS3ME15A1,"15"" UP-Touch Panel"
LOYL-VIS3ME7G1,"L-VIS UP-Touch Panel 7"", silber"
LOYL-VISFRAME1,"Installationsrahmen zu Touch Panel 5.7"""
LOYL-VISFRAME12,"Installationsrahmen zu Touch Panel 12"""
LOYL-VISFRAME15,"Installationsrahmen zu Touch Panel 15"""
LOYNIC709-USB,NIC709-USB / Lon Karte PCMCIA
LT-DESIGO,Lifebook
LTE ANTENNA MAGNET,LTE ANTENNA MAGNET
LTE ANTENNA WALL M,LTE ANTENNA WALL M
LTE SMARTSTART ROU,LTE SMARTSTART ROU
LVIS-3ME15-A1,"15"" UP-Touch Panel"
M3FB15LX/A,"Kältemittelventil, PS43, Heissgas, 3"
M3FB15LX06/A,"Kältemittelventil, PS43, Heissgas, 0.6"
M3FB15LX15/A,"Kältemittelventil, PS43, Heissgas, 1.5"
M3FB20LX/A,"Kältemittelventil, PS43, Heissgas, 5"
M3FB25LX/A,"Kältemittelventil, PS43, Heissgas, 8"
M3FB32LX,"Kältemittelventil, PS43, Heissgas, 12"
M3FK15LX,"Kältemittelventil, PN32 Kondensator, 3"
M3FK15LX06,"Kältemittelventil, PN32 Kondensator, 06"
M3FK15LX15,"Kältemittelventil, PN32 Kondensator, 15"
M3FK20LX,"Kältemittelventil, PN32 Kondensator, 5"
M3FK25LX,"Kältemittelventil, PN32 Kondensator, 8"
M3FK32LX,"Kältemittelventil, PN32 Kondensator, 12"
M3FK40LX,"Kältemittelventil, PN32 Kondensator, 20"
M3FK50LX,"Kältemittelventil, PN32 Kondensator, 30"
M3P100FY,"Magnetvent.,Flansch,PN16,130,AC24V,0-10V"
M3P80FY,"Magnetvent.,Flansch,PN16,80,AC24V,0-10V"
MB3180 MODBUS GATE,MGate MB3180 ModBus Gateway Moxa
MF100-ST150-PN25,"Montage-Set 360mm, DN100, PN25, komplett"
MF25-STV100,"Montage-Set 260mm, DN25, PN16, komplett"
MF40-ST100,"Montage-Set 300mm, DN40, PN16, komplett"
MF50-ST100,"Montage-Set 270mm, DN50, PN16, komplett"
MF65-ST100,"Montage-Set 300mm, DN65, PN25, komplett"
MF80-ST150,"Montage-Set 300mm, DN80, PN16, komplett"
MG-L-1,Montage-Set Large 1“ x 130 mm
MG-L-1B,Montage-Set Large 1“ x 190 mm
MG-L-3/4,Montage-Set Large 3/4“ x 110 mm
MG-L-5/4,Montage-Set Large 11/4” x 260 mm
MG-S-1,Montage-Set Small 1“ x 130 mm
MG-S-1,Montage-Set Small 1“ x 130 mm
MG-S-1B,Montage-Set Small 1“ x 190 mm
MG-S-1B,Montage-Set Small 1“ x 190 mm
MG-S-3/4,Montage-Set Small 3/4“ x 110 mm
MG-S-3/4,Montage-Set Small 3/4“ x 110 mm
MG-S-5/4,Montage-Set Small 11/4” x 260 mm
MG-S-5/4,Montage-Set Small 11/4” x 260 mm
MINI DB9F-TO-TB,Mini Female DB9 to Terminal Block
MODEM-ANALOG,Modem analog
MODEM-ANALOG,Modem analog
MODEM-ANALOG,Modem analog
MODEM-ISDN,BM33k6-ISDN
MP1X1,Montageplatte 1x1
MP2X1,Montageplatte 2x1 hoch
MP2X1,Montageplatte 2x1 hoch
MP2X2,Montageplatte 2x2
MP2X2,Montageplatte 2x2
MP3X1,Montageplatte 3x1 hoch
MP3X1,Montageplatte 3x1 hoch
MP3X2,Montageplatte 3x2 hoch
MP3X2,Montageplatte 3x2 hoch
MULTICASE,Notebook Tragtasche
MVF461H15-0.6,"Durchgangs-Magnetventil, PN16, kvs 0.6"
MVF461H15-1.5,"Durchgangs-Magnetventil, PN16, kvs 1.5"
MVF461H15-3,"Durchgangs-Magnetventil, PN16, kvs 3"
MVF461H20-5,"Durchgangs-Magnetventil, PN16, kvs 5"
MVF461H25-8,"Durchgangs-Magnetventil, PN16, kvs 8"
MVF461H32-12,"Durchgangs-Magnetventil, PN16, kvs 12"
MVF461H40-20,"Durchgangs-Magnetventil, PN16, kvs 20"
MVF461H50-30,"Durchgangs-Magnetventil, PN16, kvs 30"
MVL661.15-0.4,"Kältemittelventil, PN40, kvs 0.4"
MVL661.15-0.4EX,"Kältemittelventil, PN40, kvs 0.4,Ex"
MVL661.15-1.0,"Kältemittelventil, PN40, kvs 1"
MVL661.15-1.0EX,"Kältemittelventil, PN40, kvs 1,Ex"
MVL661.20-2.5,"Kältemittelventil, PN40, kvs 2.5"
MVL661.20-2.5EX,"Kältemittelventil, PN40, kvs 2.5,Ex"
MVL661.25-6.3,"Kältemittelventil, PN40, kvs 6.3"
MVL661.25-6.3EX,"Kältemittelventil, PN40, kvs 6.3,Ex"
MVL661.32-10,"Kältemittelventil, PN40, kvs 10"
MVL661.32-12,"Kältemittelventil, PN40, kvs 12"
MVS661.25-0.4EX,"Kältemittelventil, PN40, kvs 0.4,Ex"
MVS661.25-0.4N,"Kältemittelventil, PN40, kvs 0.4"
MVS661.25-016EX,"Kältemittelventil, PN40, kvs 0.16,Ex"
MVS661.25-1.0EX,"Kältemittelventil, PN40, kvs 1,Ex"
MVS661.25-1.0N,"Kältemittelventil, PN40, kvs 1"
MVS661.25-2.5EX,"Kältemittelventil, PN40, kvs 2.5,Ex"
MVS661.25-2.5N,"Kältemittelventil, PN40, kvs 2.5"
MVS661.25-6.3EX,"Kältemittelventil, PN40, kvs 6.3,Ex"
MVS661.25-6.3N,"Kältemittelventil, PN40, kvs 6.3"
MXF461.15-0.6,"Magnetvent.,Flansch,PN16,0.6,AC24V,0-10V"
MXF461.15-1.5,"Magnetvent.,Flansch,PN16,1.5,AC24V,0-10V"
MXF461.15-3.0,"Magnetventil,Flansch,PN16,3,AC24V,0-10V"
MXF461.20-5.0,"Magnetventil,Flansch,PN16,5,AC24V,0-10V"
MXF461.25-8.0,"Magnetventil,Flansch,PN16,8,AC24V,0-10V"
MXF461.32-12,"Magnetventil,Flansch,PN16,12,AC24V,0-10V"
MXF461.40-20,"Magnetventil,Flansch,PN16,20,AC24V,0-10V"
MXF461.50-30,"Magnetventil,Flansch,PN16,30,AC24V,0-10V"
MXF461.65-50,"Magnetventil,Flansch,PN16,50,AC24V,0-10V"
MXG461.15-0.6,"Magnetventil,AG,PN16,0.6,AC24V,0-10V"
MXG461.15-1.5,"Magnetventil,AG,PN16,1.5,AC24V,0-10V"
MXG461.15-3.0,"Magnetventil,AG,PN16,3.0,AC24V,0-10V"
MXG461.20-5.0,"Magnetventil,AG,PN16,5.0,AC24V,0-10V"
MXG461.25-8.0,"Magnetventil,AG,PN16,8.0,AC24V,0-10V"
MXG461.32-12,"Magnetventil,AG,PN16,12,AC24V,0-10V"
MXG461.40-20,"Magnetventil,AG,PN16,20,AC24V,0-10V"
MXG461.50-30,"Magnetventil,AG,PN16,30,AC24V,0-10V"
MXG461B15-0.6,"Magnetvent,F,PN16,0.6,AC24V,0-10V,DVGW"
MXG461B15-1.5,"Magnetvent.,F,PN16,1.5,AC24V,0-10V,DVGW"
MXG461B15-3,"Magnetvent,F,PN16,3,AC24V,0-10V,DVGW"
MXG461B20-5,"Magnetvent,F,PN16,5,AC24V,0-10V,DVGW"
MXG461B25-8,"Magnetvent,F,PN16,8,AC24V,0-10V,DVGW"
MXG461B32-12,"Magnetvent,F,PN16,12,AC24V,0-10V,DVGW"
MXG461B40-20,"Magnetvent,F,PN16,20,AC24V,0-10V,DVGW"
MXG461B50-30,"Magnetvent,F,PN16,30,AC24V,0-10V,DVGW"
MXG461S15-1.5,"Magnetvent,F,PN16,1.5,AC24V,0-10V,CrNi"
MXG461S25-8.0,"Magnetvent,F,PN16,8,AC24V,0-10V,CrNi"
MXG461S32-12,"Magnetvent,F,PN16,12,AC24V,0-10V,CrNi"
NPORT 5110A,NPORT 5110A
NPORT 5610-8,Serielle Geräteserver 8/16 Ports
OCI700.1,Service- und Bedientool für KNX/LPB
OCI700.1,Service- und Bedientool für KNX/LPB
OCI700.1,Service- und Bedientool für KNX/LPB
OCI702,USB - KNX Serviceinterface
OCI702,USB - KNX Serviceinterface
OCI702,USB - KNX Serviceinterface
OMN-FK101-RW,Enocean Fensterkontakt mit Magnet
OMN-R101-RW,Enocean Handsender 4-Kanal reinweiss
OMN-R101-SB,Enocean Handsender 4-Kanal Alu lackiert
OMN-R101-SW,Enocean Handsender 4-Kanal schwarz
OMN-UPR230-03,Enocean UP 2-Level Repeater
OMN-WS-CH-102-J-RW,Enocean Wandsender-Set 4-Kanal Jal.
OMN-WS-CH-102-RW,Enocean Wandsender-Set 4-Kanal
OPC-SERVER S7,Softing S7 OPC-Server
OZW672.01,Web-Server LPB
OZW672.01,Web-Server LPB
OZW672.04,Web Server für 4 LPB Geräte
OZW672.04,Web Server für 4 LPB Geräte
OZW672.16,Web Server für 16 LPB Geräte
OZW672.16,Web Server für 16 LPB Geräte
OZW772.01,Web Server für 1 KNX Gerät
OZW772.01,Web Server für 1 KNX Gerät
OZW772.01,Web Server für 1 KNX Gerät
OZW772.04,Web Server für 4 KNX Geräte
OZW772.04,Web Server für 4 KNX Geräte
OZW772.04,Web Server für 4 KNX Geräte
OZW772.16,Web Server für 16 KNX Geräte
OZW772.16,Web Server für 16 KNX Geräte
OZW772.16,Web Server für 16 KNX Geräte
OZW772.250,Web Server für 250 KNX Geräte
OZW772.250,Web Server für 250 KNX Geräte
OZW772.250,Web Server für 250 KNX Geräte
P54594-P102-A100-Z,Lizenz für SBR-BACnet Browser
P54594-P102-A101-Z,Lizenz für SBR-Execution
P54594-P102-A102-Z,Lizenz für SBR-Specialist
PADPULS M2,"M-Bus Impulsadapter, 2 Impulseingänge"
PATCH_FLAT_10M,PATCHKABEL FLACH PXM20-E 10m
PATCH_FLAT_3M,PATCHKABEL FLACH PXM20-E 3m
POL042.25/STD,Stecker-Set für Climatix POL42X.XX
POL063.85/STD,Steckerset für POL63X (Screw)
POL098.55/STD,Steckerset für POL985 (Screw)
POL424.50/STD,Climatix 400 programmierbarer Controller
POL636.00/STD,Basis Controller mit LON
POWER SUPPLY WUT,POWER SUPPLY WUT
PROFIBUS DP KARTE,Softing Profibus DP Karte
PROFIBUS DP MASTER,Profibus DP Master / Modbus RTU Slave
PS1-110,"Zählerersatzstück 110 mm, 1"""
PT 1X2-24AC-ST,U-Schutz für 24V Stromversorgung
PT 1X2-BE,Basiselement für Schutzstecker PT
PT 3-HF-12DC-ST,U-Schutz für 2 Signalstromkreise
PXA.V40,Wandmontage-Kit für PXM40.E und PXM40-1
PXA.V50,Wandmontage-Kit für PXM50.E und PXM50-1
PXA40-RS1,PX Open Erweiterungsmodul 800
PXA40-RS2,PX Open Erweiterungsmodul 2000
PXA40-W1,Erweiterungsmodul Web generisch
PXA-C1,Netzwerkkabel für DESIGO PX Bediengeräte
PXA-C2,PX Firmware Download adapter
PXA-C3,Serielles Kabel USB
PXA-C4,Adapter PXM20.. Firmware Loader
PXA-H1,Montagerahmen PX
PXC00.D,"PXC00.D  Automationsstation, Automations"
PXC001.D,PX Open für BACnet / LonTalk
PXC001-E.D,PX Open für BACnet / IP
PXC00-E.D,System Kontroller Ethernet IP
PXC100.D,Automations Station PXC100 LON
PXC100-E.D,Automations Station PXC100 Ethernet IP
PXC12.D,Kompaktkontroller 12 UEA
PXC12-E.D,Kompaktkontroller
PXC200.D,Automations Station PXC200 LON
PXC200-E.D,Automations Station PXC200 Ethernet IP
PXC22.1.D,"Kompaktkontroller 22 I/Os, BACnet/Lon"
PXC22.1-E.D,"Kompaktkontroller 22 I/Os, BACnet/IP"
PXC22.D,Kompaktkontroller 22 UEA
PXC22-E.D,Regler
PXC3.E16A-100A,Raumautomationsstation BACnet nur DALI
PXC3.E72-100A,Multiraumkontroller BACnet (4/8)
PXC3.E72A-100A,Multiraumkontroller BACnet und DALI(4/8)
PXC3.E75-100A,Multiraumkontroller BACnet (8/16)
PXC3.E75A-100A,Multiraumkontroller BACnet & DALI(8/16)
PXC36.1.D,"Kompaktkontroller 36 I/Os, BACnet/Lon"
PXC36.1-E.D,"Kompaktkontroller 36 I/Os, BACnet/IP"
PXC36.D,Kompakt LON
PXC36-E.D,"Kompakte Automationsstation, 36 I/Os IP"
PXC50.D,PXC50.D  Automation Station LON
PXC50-E.D,PXC50-E.D  Automation Station IP
PXC-NRUD,Ersatz Integral RSM (Migration)
PXC-NRUF,Ersatz Integral RSC (Migration)
PXG3.L,BACnet Router Ethernet/IP-LonTalk-MS/TP
PXG3.M,BACnet Router Ethernet/IP-MS/TP
PXG3.W100-1,"BACnet/IP Web Interface,Standardfunkt."
PXG3.W200-1,"BACnet/IP Web Interface,erweitere Funkt."
PXM10,Bediengerät PXM10
PXM20,Bediengerät  BACnet LON
PXM20-E,Bediengerät BACnet IP
PXM30.E,BACnet/IP Touchpanel 7”  mit Webserver
PXM30-1,"TCP/ IP Touch-Panel 7” , web-client"
PXM40.E,BACnet/IP Touchpanel 10”  mit Webserver
PXM40-1,"TCP/ IP Touch-Panel 10” , Web-Client"
PXM50.E,BACnet/IP Touchpanel 15”  mit Webserver
PXM50-1,"TCP/ IP Touch-Panel 15” , Web-Client"
PXX-L11,Erweiterungsmodul L11 LON Integration
PXX-L12,Erweiterungsmodul L12 LON Integration
PXX-PBUS,PXX-PBUS Extension module
QAA2010,Raumtemperaturfühler Pt100
QAA2012,Raumtemperaturfühler Pt1000
QAA2030,Raumtemperaturfühler NTC10k
QAA2061,Raumtemperaturfühler 0..10V
QAA2061D,Raumtemperaturfühler 0...10V mit Display
QAA2071,Raumtemperaturfühler 4...20mA
QAA24,Raumtemperaturfühler LG-Ni1000
QAA25,Raumtemp-fühler mit Sollwertgeber 5-35°C
QAA26,Raumtemp-fühler mit Sollwertgeber 5-30°C
QAA27,Raumtemp-fühler mit Sollwertsch. +3..-3K
QAA32,"Raumtemperaturfühler, NTC 3 kOhm"
QAA50.110/101,Raumgerät (Analog)
QAA64,Raumtemperaturfühler LG-Ni1000 für UP
QAA910,Raumtemperaturfühler
QAC2010,Aussentemperaturfühler Pt100
QAC2012,Aussentemperaturfühler PT1000
QAC22,Witterungsfühler LG-Ni1000
QAC3161,Aussentemperaturfühler 0..10V
QAC3171,Aussentemperaturfühler 4..20mA
QAC32,Witterungsfühler NTC 575
QAC910,Meteofühler
QAD2010,Anlegetemperaturfühler PT100
QAD2012,Anlegetemperaturfühler PT1000
QAD2030,Anlegetemperaturfühler NTC10k
QAD22,Anlegetemperaturfühler LG-Ni1000
QAE2111.010,Tauchtemperaturfühl. 100 mm Pt100 ohne SR
QAE2111.015,Tauchtemperaturfühl. 150 mm Pt100 ohne SR
QAE2112.010,Tauchtemperaturfühl 100 mm PT1000 ohne SR
QAE2112.015,Tauchtemperaturfühl 150 mm PT1000 ohne SR
QAE2120.010,Tauchtemperaturfühler 100 mm LG-Ni mit SR
QAE2120.015,Tauchtemperaturfühler 150 mm LG-Ni mit SR
QAE2121.010,Tauchtemperaturfühl. 100 mm LG-Ni ohne SR
QAE2121.015,Tauchtemperaturfühl. 150 mm LG-Ni ohne SR
QAE2130.010,Tauchtemperaturfühl 100 mm NTC10k ohne SR
QAE2130.015,Tauchtemperaturfühl 150 mm NTC10k ohne SR
QAE2164.010,Tauchtemperaturfühl. 100 mm 0-10V ohne SR
QAE2164.015,Tauchtemperaturfühl. 150 mm 0-10V ohne SR
QAE2174.010,Tauchtemperaturfühl 100 mm 4-20mA ohne SR
QAE2174.015,Tauchtemperaturfühl 150 mm 4-20mA ohne SR
QAE3010.010,"Tauchtemperaturfühler 100 mm, Pt100"
QAE3010.016,"Tauchtemperaturfühler 160 mm, Pt100"
QAE3075.010,"Tauchtemperaturfühler 100 mm, 4..20mA"
QAE3075.016,"Tauchtemperaturfühler 160 mm, 4..20mA"
QAF63.2-J,"Frostschutzfühler 2m, stetig"
QAF63.2K,Frostschutzfühler 2m; stetig Komplettset
QAF63.6-J,"Frostschutzfühler 6m, stetig"
QAF63.6K,Frostschutzfühler 6m; stetig Komplettset
QAF64.2-J,"Frostschutzwächter 2m, stetig & 2-Punkt"
QAF64.2K,"Frostwächter 2m, stetig, 2Punkt, Set"
QAF64.6-J,"Frostwächter 6m, stetig & 2-Punkt"
QAF64.6K,Frostwächter 6m; stetig; 2Punkt; Set
QAF81.3,"Frostwächter, 2-Punkt, 3,0m, -5…15 °C"
QAF81.6,"Frostwächter, 2-Punkt, 6,0m, -5…15 °C"
QAF81.6M,"Frostwächter, 2-Punkt, man. Rückstellung"
QAM2110.040,"Kanaltemperaturfühler 400 mm, Pt100"
QAM2112.040,"Kanaltemperaturfühler 400 mm, Pt1000"
QAM2112.200,"Kanaltemperaturfühler 2m, PT1000"
QAM2120.040,"Kanaltemperaturfühler 400 mm, LG-Ni1000"
QAM2120.200,"Kanaltemperaturfühler 2m, LG-Ni1000"
QAM2120.600,"Kanaltemperaturfühler 6m, LG-Ni1000"
QAM2130.040,"Kanaltemperaturfühler 400 mm, NTC10k"
QAM2161.040,"Kanaltemperaturfühler 400 mm, 0..10V"
QAM2171.040,"Kanaltemperaturfühler 400 mm, 4..20mA"
QAP1030.200,"Kabeltemperaturfühler 2m, NTC10k"
QAP1030/UFH,"Kabeltemperaturfühler PVC 4 m, NTC 3k"
QAP2010.150,"Kabeltemperaturfühler 1,5m, Pt100"
QAP2012.150,"Kabeltemperaturfühler 1,5m, Pt1000"
QAP21.2,"Kabeltemperaturfühler 1,5m,  -30..180°C"
QAP21.3,"Kabeltemperaturfühler 1,5m,  -30..130°C"
QAP21.3/8000,"Kabeltemperaturfühler 8m, -30..130°C"
QAP22,"Kabeltemperaturfühler 2m, -25..95°C"
QAT22,"Fenstertemperaturfühler 1,5m, LG-Ni1000"
QAW70-A,Raumgerät (Digital)
QAW740,Raumgerät mit KNX-Bus
QAW740,Raumgerät mit KNX-Bus
QAW910,Raumgerät
QAW912,Raumgerät
QAW912,Raumgerät
QAX30.1,"Raumgerät mit Fühler, PPS2-Schnittstelle"
QAX31.1,"Raumgerät mit Fühler, Sollwertst., PPS2"
QAX32.1,"Raumger. Fühler,Sollwert-,Betriebsw.PPS2"
QAX33.1,Raumger. Fühler mit div. Wahleinst. PPS2
QAX34.3,"Raumger. Fühler,Display,Betriebsw.PPS2"
QAX84.1/CH,UP-Raumgerät PPS2-Schnittst. mit Rahmen
QAX84.1/PPS2,UP-Raumger. PPS2 mit Designe Rahmen
QAX84.1/PRESTIGE,UP-Raumger. PPS2 mit miro Rahmen
QAX903-9,HLK-Wohnungszentrale mit ECA
QAX903-9,HLK-Wohnungszentrale mit ECA
QAX913-9,Wohnungszentrale mit ECA
QAX913-9,Wohnungszentrale mit ECA
QAX95.4,FunkRaumgerä EnOcean mit Solarzelle
QAX95.4,FunkRaumgerä EnOcean mit Solarzelle
QAX95.4,FunkRaumgerä EnOcean mit Solarzelle
QAX96.4,"FunkRaumgerät EnOcean‚Solar,Sollwert."
QAX96.4,"FunkRaumgerät EnOcean‚Solar,Sollwert."
QAX96.4,"FunkRaumgerät EnOcean‚Solar,Sollwert."
QAX97.4,"Raumger. EnOcean,Sollwert,Taste/Schalter"
QAX97.4,"Raumger. EnOcean,Sollwert,Taste/Schalter"
QAX97.4,"Raumger. EnOcean,Sollwert,Taste/Schalter"
QAX98.4,"Raumgerät EnOcean, Sollwertge, Universal"
QAX98.4,"Raumgerät EnOcean, Sollwertge, Universal"
QAX98.4,"Raumgerät EnOcean, Sollwertge, Universal"
QBE2003-P1,Druckfühler für Flüssigkeit/Gase 1 bar
QBE2003-P1.6,Druckfühler für Flüssigkeit/Gase 1.6 bar
QBE2003-P10,Druckfühler für Flüssigkeit/Gase 10 bar
QBE2003-P16,Druckfühler für Flüssigkeit/Gase 16 bar
QBE2003-P2.5,Druckfühler für Flüssigkeit/Gase 2.5 bar
QBE2003-P25,Druckfühler für Flüssigkeit/Gase 25 bar
QBE2003-P4,Druckfühler für Flüssigkeit/Gase 4 bar
QBE2003-P40,Druckfühler für Flüssigkeit/Gase 40 bar
QBE2003-P6,Druckfühler für Flüssigkeit/Gase 6 bar
QBE2003-P60,Druckfühler für Flüssigkeit/Gase 60 bar
QBE2004-P10U,Druckfühler für Kältemittel -1…9bar
QBE2004-P25U,Druckfühler für Kältemittel -1…24bar
QBE2004-P30U,Druckfühler für Kältemittel -1…29bar
QBE2004-P60U,Druckfühler für Kältemittel -1…59bar
QBE2103-P1,QBE2103-P1 Druckfühler
QBE2103-P1.6,QBE2103-P1.6 Druckfühler
QBE2103-P10,QBE2103-P10 Druckfühler
QBE2103-P16,QBE2103-P16 Druckfühler
QBE2103-P2.5,QBE2103-P2.5 DruDruckfühler
QBE2103-P25,QBE2103-P25 Druckfühler
QBE2103-P4,QBE2103-P4 Druckfühler
QBE2103-P40,QBE2103-P40 Druckfühler
QBE2103-P6,QBE2103-P6 Druckfühler
QBE2103-P60,QBE2103-P60 Druckfühler
QBE2104-P10U,Druckfühler für Kältemittel -1…9 bar
QBE2104-P25U,QBE2104-P25U Druckf hler K
QBE2104-P30U,Druckfühler für Kältemittel -1…29 bar
QBE2104-P60U,QBE2104-P60U Druckf hler K
QBE3000-D1,Druckdiff.fühler Flüss/Gas 0…10V 1bar
QBE3000-D1.6,Druckdiff.fühler Flüss/Gas 0…10V 1.6bar
QBE3000-D10,Druckdiff.fühler Flüss/Gas 0…10V 10bar
QBE3000-D16,Druckdiff.fühler Flüss/Gas 0…10V 16bar
QBE3000-D2.5,Druckdiff.fühler Flüss/Gas 0…10V 2.5bar
QBE3000-D4,Druckdiff.fühler Flüss/Gas 0…10V 4bar
QBE3000-D6,Druckdiff.fühler Flüss/Gas 0…10V 6bar
QBE3100-D1,Druckdiff.fühler Flüss/Gas 4…20mA 1bar
QBE3100-D1.6,Druckdiff.fühler Flüss/Gas 4…20mA 1.6bar
QBE3100-D10,Druckdiff.fühler Flüss/Gas 4…20mA 10bar
QBE3100-D16,Druckdiff.fühler Flüss/Gas 4…20mA 16bar
QBE3100-D4,Druckdiff.fühler Flüss/Gas 4…20mA 4bar
QBE3100-D6,Druckdiff.fühler Flüss/Gas 4…20mA 6bar
QBE61.3-DP10,Druckdifferenzfühler Flüss/Gas10bar
QBE61.3-DP2,Druckdiff.-fühler Flüssigkeit/Gas 2bar
QBE61.3-DP5,Druckdiff.-fühler Flüssigkeit/Gas 5bar
QBE63-DP01,Druckdiff.-fühler Flüssigkeit/Gas 10kPa
QBE63-DP02,Druckdiff.-fühler Flüssigkeit/Gas 20kPa
QBE63-DP05,Druckdiff.-fühler Flüssigkeit/Gas 50kPa
QBE63-DP1,Druckdiff.-fühler Flüssigkeit/Gas 100kPa
QBM2030-1U,Luftkanaldruckdiff.fühler -100…+100Pa
QBM2030-30,Luftkanaldruckdiff.fühler 0…3000 Pa
QBM2030-5,Luftkanaldruckdiff.fühler 0…500 Pa
QBM3020-1,Luftkanaldruckdiff.fühler 0…100 Pa
QBM3020-10,Luftkanaldruckdiff.fühler. 0…1000Pa
QBM3020-10D,Luftkanaldruckdiff.fühler 0…1000 Pa/ LCD
QBM3020-1D,Luftkanaldruckdiff.fühler 0…100 Pa/ LCD
QBM3020-1U,Luftkanaldruckdiff.fühler -50…+50 Pa
QBM3020-25,Luftkanaldruckdiff.fühler 0…2500Pa
QBM3020-25D,Luftkanaldruckdiff.fühler 0…2500 Pa/ LCD
QBM3020-3,Luftkanaldruckdiff.fühler 0…300 Pa
QBM3020-3D,Luftkanaldruckdiff.fühler 0…300 Pa/ LCD
QBM3020-5,Luftkanaldruckdiff.fühler 0…500 Pa
QBM3020-5D,Luftkanaldruckdiff.fühler 0…500 Pa/ LCD
QBM3460-3,VAV Differenzdrucksensor
QBM4000-1,Luftkanaldruckdiff.fühler 0…100Pa zertif
QBM4000-10,Luftkanaldruckdif.fühler 0…1000Pa zertif
QBM4000-25,Luftkanaldruckdif.fühler 0…2500Pa zertif
QBM4000-3,Luftkanaldruckdiff.fühler 0…300Pa zertif
QBM4100-1D,Luftkanaldruckdiff.fü 0…100Pa/LCD zertif
QBM4100-1U,Luftkanaldruckdiff.fühler -50…5Pa zertif
QBM81-10,"Druckdifferenzschalter, 100…1000 Pa"
QBM81-20,"Druckdifferenzschalter, 200...2000 Pa"
QBM81-3,"Druckdifferenzschalter, 20…300 Pa"
QBM81-5,"Druckdifferenzschalter, 50…500 Pa"
QBM81-50,Druckdifferenzschalter 1KPa….5KPa
QFA1000,"Raumhygrostat, Sollwerteinstellung innen"
QFA1001,Raumhygrostat mit Sollwerteinstellung
QFA2000,Raumfühler Feuchte 0…10V
QFA2001,Raumfühler für Feuchte DC4…20mA
QFA2020,"Raumfühler Feuchte 0...10V,Temp/LGNi1000"
QFA2060,Raumfühler Temp./Feuchte 2x0…10V
QFA2060D,Raumfühler Temp/Feuchte 2x0…10V mit Dis
QFA2071,Raumfühler Temp./Feuchte 2x4…20mA
QFA3100,"Raumfühler Feuchte 0…10V, IP65"
QFA3101,"Raumfühler Feuchte 4…20mA, IP65"
QFA3160,"Raumfühler Temp./Feuchte 2x0…10V,IP65"
QFA3160D,"Raumfühl Temp/Feucht 2x0…10V,IP65 Diplay"
QFA3171,"Raumfühler Temp./Feuchte 2x4…20mA, IP65"
QFA3171D,"Raumfü Temp/Feucht 2x4…20mA,IP65 Display"
